board,moves
"[[4, 2, 0, 5, 0, 4, 6, 0], [1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, -2, -5, -1, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, 0, -3, 0, 0, -4, -6, 0]]",e8g8
"[[4, 2, 0, 5, 0, 4, 6, 0], [1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, -2, -5, -1, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",f1d1
"[[4, 0, 0, 5, 0, 4, 6, 0], [1, 1, 0, 2, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, -2, -5, -1, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",b8d7
"[[4, 0, 0, 5, 0, 4, 6, 0], [1, 1, 0, 2, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0, 0], [0, 0, -2, -5, 0, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",e3e4
"[[4, 0, 0, 5, 0, 4, 6, 0], [1, 1, 0, 2, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, 1, 0, 0, 0], [0, 0, -2, -5, 0, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",d5e4
"[[4, 0, 0, 5, 0, 4, 6, 0], [1, 1, 0, 2, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -2, 0, 0, 0], [0, 0, 0, -5, 0, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",c3e4
"[[4, 0, 0, 5, 0, 4, 6, 0], [1, 1, 0, 2, 0, 1, 1, 1], [0, 0, 1, 3, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, 2, 0, 0, 0], [0, 0, 0, -5, 0, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",f6e4
"[[4, 0, 0, 5, 0, 4, 6, 0], [1, 1, 0, 2, 0, 1, 1, 1], [0, 0, 1, 3, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -5, 0, 0, 0], [0, 0, 0, 0, 0, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",d3e4
"[[4, 0, 0, 5, 0, 4, 6, 0], [1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -5, 0, 0, 0], [0, 0, 0, 0, 0, -2, 0, 0], [-1, -1, 0, 0, 0, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",d7f6
"[[4, 0, 0, 5, 0, 4, 6, 0], [1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2, 0, 0], [-1, -1, 0, 0, -5, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",e4e2
"[[4, 0, 0, 0, 0, 4, 6, 0], [1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, -2, 0, 0], [-1, -1, 0, 0, -5, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",d8a5
"[[4, 0, 0, 0, 0, 4, 6, 0], [1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, 0, -2, 0, 0], [0, -1, 0, 0, -5, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",a2a3
"[[4, 0, 0, 0, 0, 4, 6, 0], [1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, 0, -2, 0, 0], [0, -1, 0, 0, -5, -1, -1, -1], [-4, 0, -3, -4, 0, 0, -6, 0]]",a5h5
"[[4, 0, 0, 0, 0, 4, 6, 0], [1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 3, 1, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, 0, -2, 0, -1], [0, -1, 0, 0, -5, -1, -1, 0], [-4, 0, -3, -4, 0, 0, -6, 0]]",h2h3
"[[4, 0, 0, 0, 0, 4, 6, 0], [1, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 3, 1, 2, 0, 1], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, 0, -2, 0, -1], [0, -1, 0, 0, -5, -1, -1, 0], [-4, 0, -3, -4, 0, 0, -6, 0]]",h7h6
"[[4, 0, 0, 0, 0, 4, 6, 0], [1, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 3, 1, 2, 0, 1], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, -3, -2, 0, -1], [0, -1, 0, 0, -5, -1, -1, 0], [-4, 0, 0, -4, 0, 0, -6, 0]]",c1e3
"[[4, 0, 0, 4, 0, 0, 6, 0], [1, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 3, 1, 2, 0, 1], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, -3, -2, 0, -1], [0, -1, 0, 0, -5, -1, -1, 0], [-4, 0, 0, -4, 0, 0, -6, 0]]",f8d8
"[[4, 0, 0, 4, 0, 0, 6, 0], [1, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 3, 1, 2, 0, 1], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, -3, -2, 0, -1], [0, -1, 0, 0, -5, -1, -1, 0], [0, 0, -4, -4, 0, 0, -6, 0]]",a1c1
"[[4, 0, 0, 0, 0, 0, 6, 0], [1, 1, 0, 4, 0, 1, 1, 0], [0, 0, 1, 3, 1, 2, 0, 1], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, -3, -2, 0, -1], [0, -1, 0, 0, -5, -1, -1, 0], [0, 0, -4, -4, 0, 0, -6, 0]]",d8d7
"[[4, 0, 0, 0, 0, 0, 6, 0], [1, 1, 0, 4, 0, 1, 1, 0], [0, 0, 1, 3, 1, 2, 0, 1], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, -3, -2, 0, -1], [0, -1, -5, 0, 0, -1, -1, 0], [0, 0, -4, -4, 0, 0, -6, 0]]",e2c2
"[[0, 0, 0, 4, 0, 0, 6, 0], [1, 1, 0, 4, 0, 1, 1, 0], [0, 0, 1, 3, 1, 2, 0, 1], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, -3, -2, 0, -1], [0, -1, -5, 0, 0, -1, -1, 0], [0, 0, -4, -4, 0, 0, -6, 0]]",a8d8
"[[0, 0, 0, 4, 0, 0, 6, 0], [1, 1, 0, 4, 0, 1, 1, 0], [0, 0, 1, 3, 1, 2, 0, 1], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, -3, -2, 0, -1], [0, -1, -5, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",d1e1
"[[0, 0, 0, 4, 0, 0, 6, 0], [1, 1, 3, 4, 0, 1, 1, 0], [0, 0, 1, 0, 1, 2, 0, 1], [0, 0, 0, 0, 0, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, -3, -2, 0, -1], [0, -1, -5, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",d6c7
"[[0, 0, 0, 4, 0, 0, 6, 0], [1, 1, 3, 4, 0, 1, 1, 0], [0, 0, 1, 0, 1, 2, 0, 1], [0, 0, 0, 0, -2, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, -3, 0, 0, -1], [0, -1, -5, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",f3e5
"[[0, 0, 0, 4, 0, 0, 6, 0], [1, 1, 0, 4, 0, 1, 1, 0], [0, 0, 1, 0, 1, 2, 0, 1], [0, 0, 0, 0, 3, 0, 0, 5], [0, 0, -1, -1, 0, 0, 0, 0], [-1, 0, 0, 0, -3, 0, 0, -1], [0, -1, -5, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",c7e5
"[[0, 0, 0, 4, 0, 0, 6, 0], [1, 1, 0, 4, 0, 1, 1, 0], [0, 0, 1, 0, 1, 2, 0, 1], [0, 0, 0, 0, -1, 0, 0, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 0, -3, 0, 0, -1], [0, -1, -5, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",d4e5
"[[0, 0, 0, 4, 0, 0, 6, 0], [1, 1, 0, 4, 0, 1, 1, 2], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 0, -3, 0, 0, -1], [0, -1, -5, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",f6h7
"[[0, 0, 0, 4, 0, 0, 6, 0], [-3, 1, 0, 4, 0, 1, 1, 2], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 0, 0, 0, 0, -1], [0, -1, -5, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",e3a7
"[[0, 0, 0, 4, 0, 0, 6, 0], [-3, 1, 0, 0, 0, 1, 1, 2], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 0, 0, 0, 0, -1], [0, -1, -5, 4, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",d7d2
"[[0, 0, 0, 4, 0, 0, 6, 0], [-3, 1, 0, 0, 0, 1, 1, 2], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, -5, 0, 0, 0, 0, 0, -1], [0, -1, 0, 4, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",c2b3
"[[0, 0, 0, 4, 0, 0, 6, 0], [-3, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 2, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, -5, 0, 0, 0, 0, 0, -1], [0, -1, 0, 4, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",h7g5
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 2, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, -5, 0, 0, -3, 0, 0, -1], [0, -1, 0, 4, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",a7e3
"[[0, 0, 0, 4, 0, 0, 6, 0], [0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 2, 5], [0, 0, -1, 0, 0, 0, 0, 0], [-1, -5, 0, 4, -3, 0, 0, -1], [0, -1, 0, 0, 0, -1, -1, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",d2d3
